message_id,message_type,narrative_date,provenance,section,offset,recipient,from_display,subject,body,fact_refs,purpose,expected_face_to_face_action,status
V2M041,welcome,Six days before the anniversary,original,0,,Everyone at Fifteen Years of R,Arden Bell,Welcome to Fifteen Years of R,"Veridian Dynamics invites you to the former printing floor to mark fifteen years of reporting published as R. Vale, who promised an announcement, will be among the guests. Dress for a party, not a wake. The Foundation asks only that what happens on the floor stays among the guests until we decide together what it meant.",,Public premise and etiquette before play,Arrive in character and greet the host,provisional
V2M042,historical,"Fifteen years ago, refiled last month",archived,0,,Frankie Lowell,Personal clippings folder,"The first year, in print","Two clippings from R's first year, the ones you kept. Read the tide-table line again—nobody edited that in, and no committee wrote it. If anyone tonight claims R was always a process, put these on the table and watch their face.",V2F045,Give One Human early affirmative texture in the published record,Show the early excerpts to a skeptic and demand they account for the voice,provisional
V2M043,historical,Nine years before the anniversary,archived,0,,Tessa Quill,Night Desk archive,"Draft, third pass","The retained middle-period draft. Three sets of margin notes, three hands, one byline. You kept it to protect the contributors; tonight it may be the only honest account of how the work was actually made.",V2F046,Anchor the mantle case in a physical mid-corpus artifact,Compare drafting hands with anyone holding earlier or later R prose,provisional
V2M044,historical,Five weeks before the anniversary,forwarded,0,,Edi Velez,A colleague from the voice booth,Tell me I'm wrong,"Forwarding two late R pieces. The cadence is flat, the transitions repeat, and the Herald printing-floor passage describes a smell from a floor that was gutted years before the piece ran. You read voices for a living. Tell me I'm wrong about what wrote this.",V2F047,Give the synthetic and progressive cases a late-corpus tell,Read the passage aloud to someone who knew the building and watch what they correct,provisional
V2M045,historical,Two years before the anniversary,archived,0,,Rafi Calderón,Voicemail transcription,"Old Benny, before he moved south","Transcribed voicemail: the courier client he never named paid double to run the same envelope through three hands, and once hired two strangers to sit in a diner and look like a story meeting. Benny thought it was funny. You saved it because it wasn't.",V2F048,Let single authorship survive collaboration evidence via staged cover,Trade the courier story to whoever needs the lone-author theory rescued,provisional
V2M046,historical,Five weeks before the anniversary,archived,0,,Samira Vale,Vale,Keep this anyway,"Someone opened my drafts folder from a device I don't own. The new paragraph is better than mine. If I sound crazy, keep this anyway—dated. If I stop sounding crazy, you'll know when it started.",V2F049,First escalating incident: electronic anomaly with innocent readings,Decide whether to show Vale's fear to Morgan or keep protecting Vale's privacy,provisional
V2M047,historical,Two weeks before the anniversary,forwarded,0,,Morgan Shaw,Anonymous client,Second sighting,"Attached: two photographs of the same camera-fitted vehicle outside locations your subject visited, ten days apart, and a registry extract. The plate resolves to a fleet-leasing company dissolved last year. We expect this in the interim report.",V2F050,Second escalating incident: surveillance with a planted-lead caveat,Ask Celeste or Inez to trace the shell before trusting the client's framing,provisional
V2M048,historical,Nine days before the anniversary,system,0,,Dee Nowak,Building claims processor,Incident notice: service crossing,Automated notice: a third-party delivery unit contacted a cyclist at the service crossing. The unit's logged route does not include the crossing. The cyclist declined medical attention and left before documentation. Retain this notice pending liability review.,V2F051,Third escalating incident: physical automation contact near Vale's route,Ask Rafi and Inez who the cyclist was before anyone else asks you,provisional
V2M049,historical,Three weeks before the anniversary,disputed,0,,Kit Rakes,Tip line submission,You'll know the voice,"Anonymous submission: a draft page. No byline, no date. The cadence matches an R passage that was never published—which means whoever wrote this either was R, studied R from the inside, or generated both. You have staged sources before. This one you didn't.",V2F052,Give Kit a checkable artifact bearing on Vale's relationship to R,Ask Frankie or Dorian to test the cadence against what they hold,provisional
V2M050,historical,One week before the anniversary,recovered,0,,Tessa Quill,Night Desk accounts,Reconciliation flag,"Quarterly reconciliation flags a pseudonymous contributor paid through the drop. Active weeks align with the travel and silences of a person you have only ever heard called Vale. The strip proves payment, not identity.",V2F053,Make Vale-as-mantle-holder arguable and Ballot 2 contestable,Decide whether protecting payment routes outweighs correcting Vale's outsider story,provisional
V2M001,live,,original,1,00:00,Everyone at Fifteen Years of R,R.,A reckoning,"Fifteen years is long enough to mistake repetition for identity. Vale promised to attend. Vale is absent. Before you honor R, ask what exactly you are honoring.",V2F040,Open the identity and Vale questions without mentioning a finished article,Find the person whose claim about R most threatens your own,provisional
