message_id,section,offset,recipient,from_display,subject,body,fact_refs,purpose,expected_face_to_face_action,status
V2M001,1,00:00,Everyone at Fifteen Years of R,R.,A reckoning,"Fifteen years is long enough to mistake repetition for identity. Vale promised to attend. Vale is absent. Before you honor R, ask what exactly you are honoring.",V2F040,"Open the identity and Vale questions without mentioning a finished article","Find the person whose claim about R most threatens your own",provisional
V2M002,1,04:00,Arden Bell,Veridian Archives,Intake discrepancy,"The First R Letter intake file is ready. The material date is plausible. The record does not say Frankie delivered it, and the expense entry places Frankie's account under strain.",V2F002;V2F003,"Make Arden trade archive limits rather than simply endorse Frankie","Decide what to show Frankie and what Veridian needs in return",provisional
V2M003,1,07:00,Frankie Lowell,Unknown number,Your meeting,"Vale asked whether you remembered meeting R or remembered telling the story. Vale said the difference would matter tonight.",V2F021,"Challenge memory without disproving the human origin","Seek corroboration or confront someone who knows Vale's methods",provisional
V2M004,1,10:00,Tessa Quill,Night Desk secure relay,Source concern,"One contributor heard about the anniversary and is frightened that the routing slip will be treated as a list of R suspects. Do not use their name without protection.",V2F004;V2F005,"Tie mantle disclosure to source protection","Negotiate a disclosure boundary with Maren or Arden",provisional
V2M005,1,13:00,Maren Okafor,Worker representative,No names,"The evaluator Vale met will speak only if someone commits—in writing—that no worker name will be used to identify R or explain Vale's disappearance.",V2F041,"Create a non-mystery commitment before worker evidence moves","Seek a written protection from Veridian, Parallax, or City Hall",provisional
V2M006,1,16:00,Rafi Calderón,Accounts app,Outstanding balance,"The R-associated account is still unpaid. The transaction export shows continuity, several collectors, and a change nobody agrees how to date. Decide what that story is worth.",V2F007;V2F008,"Activate debt and ledger leverage","Approach Morgan, Graham, Frankie, or Inez with bounded terms",provisional
V2M007,1,20:00,Graham Pike,Market alert,R rumor moves,"Parallax-linked chatter is moving on the claim you repeated. No source has produced a complete article. Your exposure increases with every person who calls the rumor confirmed.",V2F035;V2F039,"Force Graham to choose between provenance and amplification","Recruit belief or disclose how the tip actually spread",provisional
V2M008,1,24:00,Kit Rakes,Clip monitor,Correction pending,"Your claim that the invitation typography contains a machine key has been checked against the printer's production file. The marks are ordinary registration errors.",,"Begin visible disproof of one false theory","Correct the claim or reinterpret the disproof in public",provisional
V2M009,1,29:00,Inez Baptiste,Neighborhood voicemail,Outsiders asking,"Someone is offering cash for the name attached to the service route. Dee and Rafi are already nervous. If the neighborhood speaks, decide what protection it gets first.",V2F042,"Activate Inez before late physical evidence","Broker terms with Morgan, Arden, Celeste, or Maren",provisional
V2M010,1,38:00,Everyone at Fifteen Years of R,Event system,A point of order,"No complete article will be presented tonight. Several guests claim fragments, summaries, or promises. Treat every claim according to who benefits from calling it an article.",V2F035;V2F036;V2F039,"Lock article ambiguity and redirect attention to rumor provenance","Ask a claimant what they personally saw rather than whether they believe",provisional
V2M011,2,00:00,Everyone at Fifteen Years of R,R.,One voice,"A voice can be inherited. A voice can be rehearsed. A voice can be generated. If you met R, tell the room what you actually encountered.",V2F012;V2F013,"Open embodiment, mantle, and synthetic interpretations equally","Compare firsthand encounters and production processes",provisional
V2M012,2,04:00,Jules Kwan,R. account service,Delivery details,"Your succession message was scheduled before delivery. The service can authenticate the account association and timing, not the composer. Someone has requested the complete header.",V2F009,"Put the succession message into voluntary circulation","Choose an examiner and negotiate the scope of their conclusion",provisional
