character_a,character_b,public_relationship,private_tension,reason_a_seeks_b,reason_b_seeks_a,social_knot,status
C01,C02,Host and honored journalism legend,"Frankie suspects Veridian is monetizing R; Arden needs Frankie's legitimacy",Secure Frankie's public blessing,Gain archive access and control of the anniversary framing,foundation,provisional
C01,C05,Foundation director and major donor,"Donation restrictions were concealed from the board",Keep the institution funded,Control how Veridian discusses Parallax,foundation;parallax,provisional
C01,C11,Nonprofit leader and City Hall adviser,"Celeste knows the donation and permits are vulnerable",Secure political protection,Keep the event from damaging the administration,foundation;city_hall,provisional
C01,C12,Event host and financial provocateur,"Graham can rescue or destroy the fundraiser",Contain market chaos or obtain a pledge,Use the event's credibility to move belief,foundation;finance,provisional
C01,C16,Institution and neighborhood leader,"Inez believes Veridian exploits local history",Keep neighborhood cooperation,Extract commitments for residents and workers,foundation;neighborhood,provisional
C02,C03,Old editor and collective organizer,"They dispute whether great reporting belongs to an individual or a network",Test the mantle account,Challenge Frankie's ownership story,succession,provisional
C02,C04,Claimed discoverer and claimed successor,"Each wants authority over R's legacy",Make Jules acknowledge the origin story,Gain legitimacy from the old guard,succession,provisional
C02,C08,Editor and performer,"Edi may know the remembered human encounter was staged",Validate the meeting memory,Learn who hired the paid R performance,performance;origin,provisional
C02,C13,Editor and Vale's former partner,"Frankie wants human continuity; Samira resents turning Vale into evidence",Learn Vale's private view of R,Understand why Vale trusted or distrusted Frankie,origin;vale,provisional
C02,C15,Journalism legend and conspiracy broadcaster,"Kit treats Frankie's memories as both proof and cover-up",Recruit Kit's audience without endorsing everything,Force Frankie to address the progressive theory,origin;conspiracy,provisional
C02,C18,Owner and authenticator of an early letter,"Farah informally examined the letter without documentation",Obtain public authentication,Decide whether to disclose the informal examination,origin;archive,provisional
C03,C04,Collective organizer and disputed successor,"Tessa opposes private ownership; Jules wants recognition",Determine whether Jules can protect contributors,Win support from plausible mantle participants,succession,provisional
C03,C07,Investigative collective and worker organizer,"Both protect sources but disagree about acceptable disclosure",Reach worker witnesses safely,Secure journalistic accountability for worker exposure,labor;sources,provisional
C03,C15,Collective organizer and conspiracy broadcaster,"Kit's complete story may expose protected contributors",Correct Kit without confirming the collective,Obtain corroboration for the mantle stage,conspiracy;succession,provisional
