character_id,offers,needs,likely_first_bargain,valuable_commitment,likely_betrayal,consequence_if_exposed,status
C01,"Archive access; event legitimacy; donor introductions; O01 intake report","Public legitimacy; funding; neighborhood participation; political protection","Offer Frankie controlled archive access for a qualified public account","Disclose or renegotiate Parallax restrictions","Hide the donation conditions while soliciting support","Loss of trust from board, workers, and neighborhood",provisional
C02,"O01 viewing; origin history; public prestige","Archive corroboration; witness validation; legacy influence","Let Arden inspect O01 in return for the intake report and Veridian crediting Frankie","Publicly qualify the meeting story","Use prestige to suppress the expense contradiction","Public humiliation and collapse of human-origin authority",provisional
C03,"O02; contributor context; collective support","Source protection; resources; conditions on succession","Give Maren bounded workflow information for worker-protection help","Support Jules only under collective safeguards","Imply the collective was R while denying the earlier deception","Loss of contributor trust and mantle credibility",provisional
C04,"O03; Vale correspondence; coalition support","Technical inspection; legacy backing; protection from Vale allegations","Show Eli the full header for a narrow analysis and no ownership judgment","Accept transparent succession conditions","Conceal the pre-message discussion while demanding unconditional support","Claim appears manufactured and allies feel used",provisional
C05,"Money; legal support; access records; O07b authorization half","Eli's logs; worker cooperation; political containment","Offer Eli independent counsel in exchange for a bounded log comparison","Fund worker remedy without controlling testimony","Buy silence or make funding conditional on a conclusion","Parallax becomes the obvious coercive villain",provisional
C06,"O05a-c; technical interpretation; correction authority","Authorization chain; physical corroboration; protection","Trade one log card to Mira or Celeste for a matching authorization record","Issue qualified public findings after independent corroboration","Withhold limitations while implying autonomy or innocence","Scapegoating, loss of credibility, and progressive-ending distortion",provisional
C07,"Worker testimony boundaries; organizing support; O02 context","Material commitments; source protection; recognition of labor","Offer Mira bounded worker context for a written remedy independent of R","Protect identities while allowing systemic facts to circulate","Reveal a worker to strengthen the case","Loss of worker trust and moral authority",provisional
C08,"O04; performance demonstration; source material context","Client route; attribution; protection from fraud claims","Compare O04 with Jules's payment context under confidentiality terms","Disclose the demonstration as possibility rather than proof","Use ambiguity to claim a more important role in R","Professional exposure and witness backlash",provisional
C09,"O06; local introductions; transaction context","Debt settlement; protection; control of neighborhood narrative","Show Morgan a bounded ledger strip in return for attribution limits","Forgive or settle the account publicly","Sell an embellished single-customer story","Neighbors expose side arrangements and contradictions",provisional
C10,"Access routines; camera-gap context; O10 physical half","Fair treatment; Inez's context; Morgan's precision","Tell Inez the real camera problem before giving Morgan a bounded account","Disclose the unrelated failure without naming uninvolved residents","Coordinate a falsely certain story with local witnesses","Becomes the convenient culprit and loses community protection",provisional
C11,"Political access; introductions; O07a calendar half","Institutional cooperation; local legitimacy; policy coalition","Exchange the calendar recovery with Mira for shared responsibility and worker safeguards","Make one enforceable policy commitment regardless of R","Erase responsibility while using others' disclosures","Coalition fractures and deleted meeting becomes the story",provisional
C12,"Money; market reach; rumor record; fragment description","Technical credibility; public reaction; plausible deniability","Offer Rafi debt settlement or Morgan payment for bounded facts without buying conclusions","Disclose financial interest when challenging provenance","Pay for certainty or conceal having amplified the tip","Market manipulation becomes more credible than the article",provisional
C13,"O09; Vale habits; correspondence context; privacy consent","Independent observations; honesty from Jules and Eli; route context","Exchange one bounded Vale statement with Jules or Eli for their complete version","Authorize limited route disclosure with explicit privacy boundaries","Hide the prior disappearance while accusing others of concealment","Personal credibility collapses and voluntary disappearance appears staged",provisional
C14,"O08; timeline access; neutral convening","Witness consent; client identity; missing route segments","Offer a bounded Case Conference after securing protection terms from Inez or Samira","Label uncertainty and disclose the manufactured lead","Sell Graham or the client a definitive conclusion","Every witness questions the timeline and investigator's independence",provisional
C15,"Audience; theory notebook; rumor propagation fact; public correction","Independent evidence; serious attention; access to Eli and Samira","Offer to retract a false theory in return for Eli answering one bounded technical question publicly","Correct both disproven theories before advancing the progressive case","Treat disproof as confirmation and misquote private disclosures","Room dismisses the complete theory with the false ones",provisional
C16,"Neighborhood access; witness trust; O10 context; coalition power","Concrete commitments; protection for Dee and Rafi; institutional accountability","Broker a Morgan-Dee conversation only after a written protection or fair-treatment promise","Reveal enough route context to clarify without identifying uninvolved people","Withhold all context after accepting commitments","Institutions bypass Inez and neighbors lose leverage",provisional
