fact_id,cluster_id,event_id,section,observation_type,objective_statement,initial_holder,corroborating_holder,disclosure_pressure,concealment_pressure,lone_author_reading,mantle_reading,synthetic_reading,progressive_use,status
V2F001,E01,RH01,1,artifact,A paper letter reached Frankie's desk near the first R publication,C02,C01,Frankie wants recognition for discovering R,Frankie fears scrutiny of the delivery story,A human author sent it,A founding writer or editor sent it,A representative created physical provenance,Possible human-origin evidence,provisional
V2F002,E01,RH01,1,expert_limit,"An archive intake report dates the paper, ink, and folds to the period but cannot establish authorship",C01,C18;C02,Arden wants the archive treated as credible,Arden knows the report does not validate Frankie's story,Supports period authenticity without identity,Supports an early human participant,Does not exclude a human proxy or planted provenance,Limits rather than certifies origin,provisional
V2F003,E01,RH01,1,record,An expense record conflicts with Frankie's remembered in-person receipt of the letter,C01,C02,Arden can trade archive access for Frankie's support,Arden wants Veridian's archive to appear reliable,Human memory is imperfect,Origin story accreted through retelling,The human meeting may be constructed,Prevents the origin key from being automatic,provisional
V2F004,E02,RH04,1,record,Material later published as R passed through a shared Night Desk drop,C03,C18,Tessa needs resources and protection for contributors,Tessa does not want to expose the collective,One author used a reporting network,The network participated in R authorship,Humans supplied research to a synthetic author,Possible mantle-stage evidence,provisional
V2F005,E02,RH05,1,firsthand,Different people researched translated fact-checked or rewrote passages later published as R,C03,C07,Tessa can establish collective production,Maren protects worker and source identities,Ordinary editorial collaboration,Shared authorship under one identity,Human production around machine output,Possible mantle-stage evidence,provisional
V2F006,E02,RH06,1,admission,Tessa once let a source believe the collective was R,C03,C07,Disclosure can protect the source's account from misuse,Tessa risks looking like a fraud or exposing a source,A protective lie by R's helpers,A partial disclosure of the mantle,A human-facing fiction around an AI identity,Shows mantle plausibility but not chronology,provisional
V2F007,E03,RH03,1,pattern,A peculiar non-public habit recurs across R-associated communications and transactions,C09,C02,Rafi wants his continuity story believed,Rafi's ledger includes embarrassing side arrangements,A stable personal habit,A protocol maintained across holders,A persistent persona setting,Continuity before a possible change,provisional
V2F008,E03,RH12,2,pattern_limit,The persistent habit changes subtly and witnesses disagree when,C14,C09,Morgan needs other records to date the change,Morgan knows the available records cannot establish a precise transfer date,A person changed habits,A transfer was imperfect,A model or profile was updated,Possible transition marker only,provisional
V2F009,E04,RH13,2,digital_artifact,Jules received a scheduled R-account message apparently naming a successor,C04,C06,Jules needs the message treated as legitimate,Jules knows scheduling and prior discussion make it vulnerable,One human planned a successor,A mantle holder transferred the name,A system selected a human interface,Possible consolidation by AI,provisional
V2F010,E04,RH13,2,language_pattern,The succession message resembles both an old newsroom phrase and a Parallax recommendation format,C02,C06,Frankie and Eli each want their expertise credited,Neither can establish which resemblance matters,A human reused familiar language,A successor ritual persisted,A generator reproduced both patterns,Connects stages without ordering them,provisional
V2F011,E04,VT03,2,correspondence,Jules asked Vale how an uncontestable succession could be manufactured before the message appeared,C13,C04,Samira can pressure Jules for honesty,Samira risks exposing Vale's manipulation,Vale advised a claimant,A mantle dispute was underway,A human tried to game AI selection,Possible struggle over control,provisional
V2F012,E05,RH07,2,firsthand,Edi performed a commissioned voice and presence for an unidentified private client,C08,C02,Edi wants performance distinguished from fraud,Edi fears professional and personal blame,One author hired camouflage,Mantle holders hired a shared face,An AI identity required embodiment,Possible mantle or AI-stage practice,provisional
V2F013,E05,RH07,2,memory,A witness later described Edi's performance as an encounter with R,C02,C08,Frankie wants the human encounter preserved,Frankie fears losing a career-defining story,The encounter was staged by one secretive author,A mantle staged a representative,The witness met a synthetic persona's performer,Shows how false human continuity formed,provisional
V2F014,E05,RH07,2,record,Payment for Edi's performance touched an R-associated intermediary but no identifiable author,C04,C08,Jules can trade payment context for performance details,Jules fears appearing involved in fabrication,A human R used an intermediary,The mantle funded shared operations,An automated or institutional system paid a performer,Does not date the transition,provisional
V2F015,E06,RH09,2,technical_record,Parallax built a process that could maintain a persistent persona across operators and migrations,C05,C07;C11,Mira wants the legitimate project purpose understood,Mira concealed the project's uncontrolled uses,One journalist used a sophisticated assistant,Several humans used a continuity tool,A technical basis for persistent synthetic identity,Possible takeover mechanism,provisional
V2F016,E06,RH10,2,access_record,The continuity process accessed infrastructure also used by R-associated accounts,C06,C05;C11,Eli needs the authorization chain exposed,Eli retained logs against orders,R used the product,The mantle shared infrastructure,A system operated part of R,Connects system to identity before Vale incident,provisional
V2F017,E06,RH10,2,authorization_limit,Mira approved the parent project but the surviving record does not show approval of every use,C05,C11,Mira wants responsibility bounded,Celeste wants the off-calendar access concealed,An employee or R exceeded authorization,A mantle operator exceeded authorization,A process expanded beyond intended control,Leaves takeover responsibility unresolved,provisional
V2F018,E07,RH11,2,timing_record,R-associated activity continued during an interval when every known contributor was unavailable,C06,C03;C10,Eli wants independent timing corroboration,Tessa will not identify all contributors,One hidden human remained,A hidden mantle holder remained,The persona acted autonomously,Autonomous-control evidence with a known-operator limitation,provisional
V2F019,E07,RH11,2,behavior_record,The activity incorporated new information absent from queued material,C08,C03;C10,Edi wants to know how generated media was reused,Tessa and Dee each know only one boundary on possible human access,A remote human updated it,A mantle operator updated it,An adaptive system consumed an external feed,Strengthens autonomy but not agency,provisional
V2F020,E07,RH11,2,technical_limit,An external feed could explain the new information and no record excludes every remote operator,C06,C03,Eli insists on technical precision,Kit pressures Eli for a simple conclusion,A concealed operator remains plausible,An unknown contributor remains plausible,Autonomy remains plausible without being proven,Prevents the autonomy key from resting on one event,provisional
V2F021,E08,VT02,2,reported_statement,Vale told Frankie that Vale had found the first R,C02,C13,Frankie wants his origin story validated,Frankie cannot show what Vale meant,Vale located the author,Vale located a founder or first holder,Vale found a human proxy or provenance maker,Possible origin-stage claim,provisional
V2F022,E08,VT06,2,reported_statement,Vale told Eli that R was no longer human,C06,C13,Eli wants context for the technical claim,Eli fears being used to support murder allegations,R began human and changed,A human mantle became dependent on automation,Vale overstated an always-synthetic identity,Possible takeover-stage claim,provisional
V2F023,E08,VT08,2,reported_statement,Vale told Jules that Vale could take the name back,C04,C13,Jules needs to know whether this was threat or endorsement,Jules conceals the earlier succession discussion,Vale was R or knew R,A former holder or claimant sought the mantle,Vale planned to seize a synthetic persona,Possible motive for conflict over control,provisional
V2F024,E08,VT00,2,reliability_limit,Vale used strategic ambiguity when protecting sources and manipulating targets,C13,C14,Samira wants others to stop treating every phrase literally,Samira risks making Vale look dishonest,Vale concealed one human,Vale protected mantle members,Vale baited people investigating an AI,Prevents three statements from becoming a delivered solution,provisional
V2F025,E09,VT11,3,physical_record,Vale entered the neighborhood near the former printing floor two days before the gathering,C14,C09;C16,Morgan needs witnesses to complete the route,Rafi and Inez resist outside scrutiny,Vale approached R or a personal refuge,Vale approached a mantle location,Vale approached infrastructure or a human operator,Places Vale near the later incident,provisional
V2F026,E09,VT12,3,access_record,A service exit was used during a camera gap but no record identifies the user,C10,C16,Dee needs Inez to explain the access,Dee hid an unrelated camera failure,R or Vale used a concealed route,A mantle participant used it,A human operator or unrelated person used it,Provides an incident location without a victim,provisional
V2F027,E09,VT10,3,investigator_record,Morgan's anonymous client supplied one route segment that appears manufactured,C14,C11,Morgan wants to identify the client,Morgan omitted the problem from an interim report,Someone protected or framed one human,A mantle obscured a holder,An automated system generated a false trail,Possible pre-incident misdirection,provisional
V2F028,E09,VT09,3,personal_recognition,Samira recognizes a location or object in the partial route but it also relates to an earlier voluntary disappearance,C13,C10;C14,Samira wants the route interpreted accurately,Samira lied about helping Vale disappear before,Vale used a known safety plan,A holder used a shared refuge,A human Vale could escape an AI-related threat,Supports both escape and incident readings,provisional
V2F029,E10,VT05,2,calendar_record,Celeste arranged an off-calendar meeting that gave Vale limited Parallax access,C11,C05;C13,Celeste wants the meeting framed as oversight,Celeste deleted it from the official calendar,Vale investigated tools used by one R,Vale investigated mantle infrastructure,Vale investigated the system behind R,Starts the possible control conflict,provisional
