character_id,main_goal,main_success_condition,subgoal_one,subgoal_one_success,subgoal_two,subgoal_two_success,final_choice,opening_targets,midgame_targets,endgame_targets,information_to_trade,information_to_protect,design_risk,status
C01,"Keep Veridian Dynamics alive without surrendering its public mission","Obtain two materially different commitments from guests and publicly state whether the Parallax restrictions will be accepted or rejected","Make the anniversary legitimate","Secure public participation from both a journalism figure and a neighborhood representative","Resolve the concealed donation","Reach a recorded understanding with Mira or Celeste about disclosure, repayment, or revised restrictions","Save Veridian through compromise or expose the funding arrangement and risk collapse",C02;C16,C05;C11,C05;C07;C16,"Archive access; expense record; guest and funding knowledge","The restrictions and uncertainty over who proposed the anniversary","Host authority could become coercive; access grants must create meetings rather than compliance",provisional
C02,"Leave recognized as a credible witness to R's origin rather than merely a teller of legends","Persuade two other characters to publicly cite a bounded part of Frankie's account while openly addressing the expense-record contradiction","Determine what the First R Letter establishes","Obtain one provenance assessment and one competing interpretation","Choose a worthy steward of the legacy","Publicly support or reject Jules, Tessa, or another claimant with stated reasons","Protect a career-defining human-origin story or admit it may be partly self-authored",C01;C04,C03;C08;C18,C04;C13;C15,"First R Letter; early newsroom history; private habit","Changing meeting memory and the expense conflict","Natural floor dominance may turn memory into authority; booklet must reward qualification",provisional
C03,"Protect the Night Desk Collective while preventing private capture of R","Secure one concrete protection or resource and obtain two public acknowledgments that collaborative labor mattered","Protect a contributor","Get Maren or another trusted intermediary to agree on a safe disclosure boundary","Decide whether Jules can carry a shared identity responsibly","Negotiate written or witnessed conditions for supporting or opposing Jules","Reveal enough to establish collective work or preserve secrecy and lose narrative control",C07;C04,C02;C15;C18,C01;C04;C07,"Shared-drop workflow; production records; contributor context","Names and the earlier protective deception","Could become the obvious mantle answer; goals must foreground labor and protection",provisional
C04,"Leave with a viable claim to R's future identity","Gain explicit support from two characters in different social knots after allowing at least one weakness in the succession message to be examined","Test the succession message","Voluntarily show a meaningful portion to Eli, Frankie, Edi, or Samira and receive a bounded response","Resolve Vale's threat or endorsement","Reach a stated interpretation with Samira or Morgan and answer it publicly","Claim R despite uncertainty or expose the message's weakness to preserve personal credibility",C02;C03,C06;C08;C13,C13;C15,"Succession message; Vale correspondence; intermediary payment context","The pre-message conversation about manufacturing succession","May dominate the legacy plot; support must carry real reputational cost",provisional
C05,"Prevent Parallax from becoming a convenient villain while determining what deployment occurred","Form a defensible public position supported by one technical voice and one affected-community voice, neither obtained through payment alone","Recover the authorization chain","Exchange access or protection for enough information from Eli or Celeste to identify a decision point","Address real worker harm independently of R","Offer Maren a concrete remedy that remains valuable even if the article was imaginary","Contain the deployment or reveal it and accept institutional consequences",C01;C11,C06;C07;C12,C06;C07;C11,"Project charter; access decisions; money; legal and technical access","Unsupervised uses and concealed response planning","Resources could buy the room; money cannot count as agreement without substantive terms",provisional
C06,"Avoid scapegoating and establish the narrow technical truth about the continuity process","Make two technically bounded statements publicly, each corroborated by a nontechnical holder, and recover one missing authorization detail","Recover authorization evidence","Obtain a record or admission from Mira or Celeste","Keep logs from becoming a false confession","Correct at least one overclaim from Kit, Graham, or another player without denying what the logs show","Trade logs for safety or disclose enough to implicate powerful actors",C05;C13,C08;C11;C15,C05;C14;C15,"Preserved logs; capability limits; access history","Unauthorized retention and the portion shown to Vale","Technical centrality is the largest current choke point; corroborators must own raw observations",provisional
C07,"Win concrete protections for data workers and keep them from becoming anonymous infrastructure or suspects","Secure two distinct commitments—one institutional and one political or neighborhood—and preserve the protected worker's anonymity","Control the worker testimony boundary","Agree with Tessa or Eli on what can be shared without identification","Separate real harms from the article rumor","Get Mira, Celeste, or Graham to acknowledge that worker harm does not depend on an article existing","Expose systemic harm or protect the people who never consented to become evidence",C03;C16,C05;C06;C11,C05;C11;C16,"Worker accounts; knowledge of collective and evaluation labor","The introduction that may have broken a promise to a worker","Light mystery evidence could sideline the role; commitments must matter visibly",provisional
C08,"Establish ownership of Edi's performed identity work and determine who reused it","Get two characters to distinguish performance from authorship and identify one plausible path by which the material entered R-associated use","Reconstruct the commission","Trade performance details with Jules, Frankie, or optional Ash for payment or witness context","Demonstrate synthetic embodiment without declaring R synthetic","Perform or explain one disclosed demonstration that another character interprets in more than one way","Expose the commission or protect a client and retain control of the art",C02;C04,C06;C15;C17,C04;C06;C13,"Performance memory; source recordings; artistic expertise","Client confidentiality and uncertainty about payment origin","The demonstration could feel like proof; it must demonstrate possibility only",provisional
C09,"Settle old obligations tied to R-associated transactions without letting outsiders own the neighborhood story","Resolve the outstanding account through payment, a credible promise, or a deliberate public forgiveness and have one neighbor support the choice","Make the ledger valuable without overclaiming it","Trade a bounded transaction pattern to Morgan, Graham, or Frankie for something concrete","Protect local customers and side arrangements","Reach a mutual disclosure boundary with Dee, Inez, or Manny","Monetize continuity claims or admit the ledger records several incompatible customers",C10;C16,C02;C12;C14,C10;C14;C16,"Ledger patterns; package and payment context; neighborhood trust","Cash arrangements and embellished claims of knowing R","Low fact count and comic energy could reduce agency; debt resolution must affect relationships",provisional
C10,"Protect a pension and a neighbor while giving a truthful account of the access gap","Obtain one promise of fair treatment and give Morgan a bounded account that another neighborhood character corroborates","Explain the camera gap","Reach an understanding with Inez about the unrelated secret before either speaks publicly","Resolve the service-route contradiction","Compare observations with Rafi or Manny without agreeing on identities neither saw","Reveal the unrelated secret or remain a plausible accomplice",C09;C16,C13;C14,C14;C16;C20,"Access routines; camera audit; service-route observations","Why the camera record was not preserved","Late evidence may invite extraction; protections must be negotiated before disclosure",provisional
