character_id,character_name,availability,public_role,personality,want,leverage,exposure,choice,mystery_function,social_mode,core_relationships,design_status
C01,Arden Bell,core,Executive Director of Veridian Dynamics,"Immaculate, hospitable, exhausted, calculating","Keep Veridian alive through pledges, support, and goodwill","Guest access, archive access, event funding knowledge","Concealed restrictions on a major Parallax donation","Save the institution through compromise or expose the funding arrangement","Host and institutional connector; cannot verify who proposed the event",floor_dominator,C02;C05;C11;C12;C16,role_brief
C02,Frankie Lowell,core,Retired metro editor,"Funny, grandiose, sentimental, territorial","Be recognized as the person who made R possible and influence the legacy","Attributed period letter, early newsroom history, professional authority","The remembered meeting has changed across retellings and conflicts with an expense record","Protect a career-defining legend or admit the origin story may be partly self-authored","Strongest emotional Lone Author case without conclusive proof",floor_dominator,C01;C03;C04;C08;C13;C15;C18,role_brief
C03,Tessa Quill,core,Organizer of the Night Desk Collective,"Disciplined, dry, egalitarian, suspicious of celebrity","Protect and resource the collective while preventing private ownership of R","Shared-drop knowledge, collaborative reporting practices, unnamed contributors","Allowed outsiders to believe the collective was R to protect a source","Reveal the collective and endanger people or preserve secrecy and lose control of the narrative","Strongest Human Mantle case without knowing R's origin",coalition_builder,C02;C04;C07;C15;C18,role_brief
C04,Jules Kwan,core,Disputed successor to the R byline,"Magnetic, ambitious, emotionally intelligent, performative","Leave recognized as the legitimate inheritor of R","Succession message, coalition skill, correspondence with Vale","Asked Vale how to manufacture an uncontestable succession before the message appeared","Claim R at any cost or expose the message's weaknesses","Succession may indicate mantle, AI front, forgery, or trap",one_to_one,C01;C02;C03;C08;C13;C15,role_brief
C05,Dr. Mira Sen,core,Founder of Parallax Systems,"Warm, visionary, politically fluent, controlling","Prevent Parallax becoming the villain and learn what Vale discovered","Money, jobs, lawyers, technical access, donor power","Approved a project that accessed R-associated infrastructure without close supervision","Contain the deployment or reveal it and accept consequences","Motive and opportunity under AI/composite endings without automatic guilt",one_to_one,C01;C06;C07;C11;C12,role_brief
C06,Eli Navarro,core,Former Parallax reliability engineer,"Wry, sleep-deprived, hype-averse, defensive","Avoid scapegoating and recover proof of who authorized an unusual deployment","Infrastructure knowledge, partial access history, preserved logs","Kept logs after a deletion order and showed part to Vale","Trade logs for safety or reveal enough to implicate powerful people","Reluctant Synthetic Persona corroborator; knows requirements for autonomy",quiet_leverage,C05;C07;C08;C12;C13;C15,role_brief
C07,Maren Okafor,core,Data-worker organizer,"Direct, coalition-minded, morally serious, impatient","Win protections for workers and prevent them becoming anonymous suspects","Worker testimony, organizing power, independent evidence of AI harms","Introduced Vale to a worker after promising permanent anonymity","Expose the system or protect people who never consented to be evidence","Moral stakes remain real even if R and the article rumor are false",coalition_builder,C03;C05;C06;C11;C16;C20,role_brief
C08,Edi Velez,core,Broadway voice performer and synthetic-media artist,"Theatrical, flirtatious, observant, consent-focused","Discover who reused old recordings and force acknowledgment or payment","Fabricated-embodiment demonstrations and knowledge of a paid R appearance","Accepted money to attend a meeting and permit belief that Edi was R","Confess the performance or preserve the illusion","Shows that a human encounter or voice does not establish authorship",one_to_one,C02;C04;C06;C15;C17,role_brief
C09,Rafi Calderón,core,Bodega and package-counter owner,"Sociable, practical, proud, embellishing","Collect an unpaid balance and protect informal neighborhood arrangements","Private ledger, package records, contradictory collectors, local memory","Ignored identification rules and altered one ledger entry as a favor","Sell the valuable version or protect neighborhood trust","Supports all three base theories through differently interpreted routines",one_to_one,C10;C12;C14;C16;C20,role_brief
C10,Dee Nowak,core,Building superintendent,"Quiet, sardonic, meticulous, defensive","Protect a pension, a tenant, and the truth about an access gap","Keys, routes, access cards, camera audits, building rhythms","Disabled or failed to preserve a camera for a reason unrelated to R","Reveal the unrelated secret or remain a plausible accomplice","Holds a Vale-incident fragment without identifying Vale or R",quiet_leverage,C09;C13;C14;C16;C20,role_brief
C11,Celeste Park,core,City Hall technology fixer,"Charming, tireless, pragmatic, transactional","Build the coalition that defines the city's response","Political protection, introductions, donor knowledge, government access","Arranged a Vale-Parallax meeting and erased it from the official calendar","Protect donors and government or force meaningful oversight","Connects all social clusters and makes every ending politically useful",coalition_builder,C01;C05;C07;C12;C16,role_brief
C12,Graham Pike,core,Activist short-seller,"Combustible, funny, shamelessly transactional","Make the R/AI story credible enough to move Parallax's valuation","Cash, market access, researchers, unusual-trade records","May have seeded or amplified the first public article rumor","Admit a market tactic or escalate the rumor","Makes the nonexistent-article theory active",floor_dominator,C01;C05;C06;C09;C11;C15,role_brief
C13,Samira Vale,core,Vale's former partner outside media and technology,"Private, perceptive, angry, protective","Learn whether Vale used, trusted, or deceived them and control what becomes public","Vale's habits, personal effects, and a message contradicting the timeline","Helped Vale disappear once before and initially lied about it","Protect Vale's privacy or disclose evidence distinguishing harm from withdrawal","Emotional center; cannot prove Vale's relationship to R",quiet_leverage,C02;C04;C06;C10;C14;C15,role_brief
C14,Morgan Shaw,core,Private investigator retained after Vale vanished,"Patient, skeptical, discreet, financially stretched","Identify the client, build a defensible Vale timeline, and get paid","Partial timeline, interview notes, voluntary case conferences","A client lead appears manufactured and was omitted from an interim report","Deliver the purchased answer or admit the case cannot support it","Only formal investigator; no police powers or solution authority",quiet_leverage,C09;C10;C12;C13;C15;C16,role_brief
C15,Kit Rakes,core,Conspiracy broadcaster,"Magnetic, hilarious, exhausting, overcertain","Share every notebook theory and win visible supporters","Complete progressive theory, large audience, connections notebook","Previously staged an anonymous source and holds demonstrably false theories","Correct false claims or package truth and nonsense together","Holds Ending 4 as belief; must obtain independent corroboration",floor_dominator,C02;C03;C04;C06;C08;C12;C13;C14,role_brief
C16,Inez Baptiste,core,Neighborhood power broker,"Protective, formidable, funny, territorial","Protect residents and extract commitments from Veridian, Parallax, and City Hall","Neighborhood trust, informal histories, introductions","Helped someone use a back room and service exit without asking why","Protect the neighborhood's silence or clarify the Vale incident","Bridge between neighborhood witnesses and elite institutions",coalition_builder,C01;C07;C09;C10;C11;C14;C20,role_brief
C17,Ash Salerno,optional,Tabloid photographer,"Fast, shameless, visually observant, hungry for vindication","Vindicate a career-damaging alleged photograph of R","Disputed image, press access, visual memory","Manipulated presentation of the image without fabricating the underlying photograph","Chase vindication or admit the image proves less than claimed","Adds redundant embodiment evidence",optional_energy,C08;C12;C15;C18;C19,role_brief
C18,Dr. Farah Haddad,optional,NYPL digital-preservation archivist,"Quiet, exacting, stubborn, careful","Protect archival integrity while determining what material can actually be dated","Material authentication, preservation history, institutional gap analysis","Privately authenticated an item for Frankie without recording the work","Preserve professional neutrality or expose a prior informal judgment","Adds alternate provenance access without authorship authority",optional_energy,C02;C03;C17;C19,role_brief
C19,Dorian Ashe,optional,Celebrity biographer,"Charming, invasive, emotionally persuasive, opportunistic","Secure a career-defining human story about R and Vale","Intimate-looking correspondence, publishing connections, narrative influence","Some correspondence is fabricated or stripped of context","Tell the most compelling story or acknowledge the uncertainty","Adds pressure toward human narrative without unique evidence",optional_energy,C02;C13;C17;C18,role_brief
C20,Manny Diallo,optional,Delivery cyclist and freelance fixer,"Resourceful, wary, funny, practical","Get paid for old work and avoid exposing personal vulnerabilities","App-dispatched errand history and an undelivered object","Completed off-book work whose legal or immigration consequences remain sensitive","Monetize the trail or protect people caught in it","Adds redundant physical-logistics evidence",optional_energy,C07;C09;C10;C16,role_brief
